momento,Potência Ativa Trifásica (kW),Ultrapassagem
2024-10-02 06:15:00,20.7381818181818,False
2024-10-02 06:30:00,21.0644853737812,False
2024-10-02 06:45:00,22.8506725468578,False
2024-10-02 07:00:00,28.5748034934498,False
2024-10-02 07:15:00,28.1805940594059,False
2024-10-02 07:30:00,31.7499225897255,False
2024-10-02 07:45:00,29.6210322580645,False
2024-10-02 08:00:00,37.429935483871,False
2024-10-02 08:15:00,34.5114084507042,False
2024-10-02 08:30:00,31.0349827387802,False
2024-10-02 08:45:00,28.5361104718067,False
2024-10-02 09:00:00,27.4954660529344,False
2024-10-02 09:15:00,33.3843037974684,False
2024-10-02 09:30:00,35.035166858458,False
2024-10-02 09:45:00,34.4539470655926,False
2024-10-02 10:00:00,34.3217951668585,False
2024-10-02 10:15:00,37.6197928653625,False
2024-10-02 10:30:00,37.9101956271577,False
2024-10-02 10:45:00,35.9697583429229,False
2024-10-02 11:00:00,35.8483774453395,False
2024-10-02 11:15:00,43.1929574223245,False
2024-10-02 11:30:00,39.427249712313,False
2024-10-02 11:45:00,39.7785500575374,False
2024-10-02 12:00:00,41.1162255466053,False
2024-10-02 12:15:00,37.8024856156502,False
2024-10-02 12:30:00,34.8454315304948,False
2024-10-02 12:45:00,32.1624702058505,False
2024-10-02 13:00:00,27.7577182770664,False
2024-10-02 13:15:00,37.4987928994083,False
2024-10-02 13:30:00,41.9393785960875,False
2024-10-02 13:45:00,40.8009666283084,False
2024-10-02 14:00:00,42.4522763306908,False
2024-10-02 14:15:00,47.2831797235023,False
2024-10-02 14:30:00,48.0838204833142,False
2024-10-02 14:45:00,55.2026237054085,False
2024-10-02 15:00:00,59.7769850402762,False
2024-10-02 15:15:00,61.8201611047181,False
2024-10-02 15:30:00,70.7542922899885,False
2024-10-02 15:45:00,77.5109897610922,True
2024-10-02 16:00:00,80.1107586206897,True
2024-10-02 16:15:00,78.0191003460208,True
2024-10-02 16:30:00,78.0872727272727,True
2024-10-02 16:45:00,77.443498273878,True
2024-10-02 17:00:00,80.5368469505178,True
2024-10-02 17:15:00,77.673417721519,True
2024-10-02 17:30:00,79.1482163406214,True
2024-10-02 17:45:00,75.355581127733,True
2024-10-02 18:00:00,75.3232681242808,False
2024-10-02 18:15:00,83.7610714285714,True
2024-10-02 18:30:00,89.8670195627158,True
2024-10-02 18:45:00,82.5628865979381,True
2024-10-02 19:00:00,78.5512543153049,True
2024-10-02 19:15:00,86.7765707710012,True
2024-10-02 19:30:00,82.3480322209436,True
2024-10-02 19:45:00,83.8671576524741,True
2024-10-02 20:00:00,85.521334867664,True
2024-10-02 20:15:00,80.5057767548907,True
2024-10-02 20:30:00,76.4003682393556,False
2024-10-02 20:45:00,71.2965707710011,False
2024-10-02 21:00:00,64.0116455696203,False
2024-10-02 21:15:00,56.5543843498274,False
2024-10-02 21:30:00,53.1287917146145,False
2024-10-02 21:45:00,50.3349597238205,False
2024-10-02 22:00:00,41.975186440678,False
2024-10-02 22:15:00,40.8254085155351,False
2024-10-02 22:30:00,38.3269505178366,False
2024-10-02 22:45:00,36.1251093210587,False
2024-10-02 23:00:00,35.7414959723821,False
2024-10-02 23:15:00,36.4362255466053,False
2024-10-02 23:30:00,36.0679401611047,False
2024-10-02 23:45:00,36.0306559263521,False
2024-10-03 00:00:00,36.3372151898734,False
2024-10-03 00:15:00,36.3906559263521,False
2024-10-03 00:30:00,35.2526582278481,False
2024-10-03 00:45:00,36.0041426927503,False
2024-10-03 01:00:00,35.9951406074241,False
2024-10-03 01:15:00,33.8563450624291,False
2024-10-03 01:30:00,34.616301369863,False
2024-10-03 01:45:00,35.4521917808219,False
2024-10-03 02:00:00,34.8138041002278,False
2024-10-03 02:15:00,34.9573271889401,False
2024-10-03 02:30:00,35.2969655172414,False
2024-10-03 02:45:00,35.5648623853211,False
2024-10-03 03:00:00,35.0966972477064,False
2024-10-03 03:15:00,35.3209090909091,False
2024-10-03 03:30:00,35.4062443438914,False
2024-10-03 03:45:00,35.2746206896552,False
2024-10-03 04:00:00,33.9126567844926,False
2024-10-03 04:15:00,35.4790783410138,False
2024-10-03 04:30:00,34.9365327210103,False
2024-10-03 04:45:00,35.3048561565017,False
2024-10-03 05:00:00,35.9900575373993,False
2024-10-03 05:15:00,35.2973993095512,False
2024-10-03 05:30:00,32.3523590333717,False
2024-10-03 05:45:00,21.7955350978136,False
2024-10-03 06:00:00,21.6800442477876,False
2024-10-03 06:15:00,22.5274509803922,False
2024-10-03 06:30:00,29.1287619047619,False
2024-10-03 06:45:00,27.2119736842105,False
2024-10-03 07:00:00,27.6079960803528,False
2024-10-03 07:15:00,30.9532288401254,False
2024-10-03 07:30:00,30.0664670658683,False
2024-10-03 07:45:00,36.2389864864865,False
2024-10-03 08:00:00,37.8426423690205,False
2024-10-03 08:15:00,37.1143843498274,False
2024-10-03 08:30:00,35.7659378596088,False
